WC ID;SKU WC;Nombre WC;Odoo ID;Referencia Odoo;Nombre Odoo;Variantes;Tipo Odoo
1189932;ISAMET 2943-0493;HILO METÁLICO ISAMET ORO 0493;3493;ISAMET 2943-0493;HILO METÁLICO ISAMET ORO 0493;1;product
1189934;ISAMET 2943-0501;HILO METÁLICO ISAMET PLATA 0501;3492;ISAMET 2943-0501;HILO METÁLICO ISAMET PLATA 0501;1;product
1189936;ISAMET 2943-0511;HILO METÁLICO ISAMET PLATA 0511;3491;ISAMET 2943-0511;HILO METÁLICO ISAMET PLATA 0511;1;product
1189968;TIJBLA;TIJERAS 10 CM CURVAS PARA EL BORDADO;2872;TIJBLA;TIJERAS 10 CM CURVAS PARA EL BORDADO;1;product
1189974;HOT MELT FILM PA100 (100MICRONES);HOT MELT (FILM TERMOADHESIVO);3489;HOT MELT FILM PA100 (100MICRONES);HOT MELT (FILM TERMOADHESIVO);1;product
1190019;P-10362;FISPOLY40, P-10362;2936;P-10362;FISPOLY40, P-10362;1;product
1190084;ST-M0905;"MIGHTYHOOP 8,7 X 4,9"" ECO";3487;ST-M0905;"MIGHTYHOOP 8,7 X 4,9"" ECO";1;product
1190130;MM244;TIJERAS MILLEMETRI 11CM;2875;MM244;TIJERAS MM RECTA 11CM;1;product
1190133;244C;TIJERAS MILLEMETRI CURVA 11CM;3485;244C;TIJERAS MILLEMETRI CURVA 11CM;1;product
1190139;MM246;TIJERAS MILLEMETRI 15,5 CM;2876;MM246;TIJERAS MM 15,5CM;1;product
1190142;MM227;TIJERAS MILLEMETRI 19 CM;2877;MM227;TIJERAS MM 19CM;1;product
1190315;MM245;TIJERAS MILLIMETRI 13,5 CM;3010;MM245;TIJERAS MM 13,5 CM;1;product
1190319;MM228;TIJERAS MILLIMETRI 21,5 CM;3011;MM228;TIJERAS MM 21,5 MM;1;product
1190827;;BASTIDOR DE PINZAS LARGAS BOLSOS/SIDE PARA HCD2/D3/D3e;3483;;BASTIDOR DE PINZAS LARGAS BOLSOS/SIDE PARA HCD2/D3/D3e;1;product
1190831;;BASTIDOR DE PINZAS LARGAS BOLSOS/SIDE PARA HCH/HCS3;3481;;BASTIDOR DE PINZAS LARGAS BOLSOS/SIDE PARA HCH/HCS3;1;product
1190842;;BASTIDOR POINT (EXTRA LARGE) MANGAS Y PERNERAS ORIGINAL HAPPY;3480;;BASTIDOR POINT (EXTRA LARGE) MANGAS Y PERNERAS ORIGINAL HAPPY;1;product
1191051;;CANILLA METALICA BORDADO HAPPY;3479;;CANILLA METALICA BORDADO HAPPY;1;product
